1,2015-12-02 22:57:29.048+00,2015-12-02 23:25:47.136+00,-76.9386616,38.8891714,-76.9379174,38.8896617
1,2015-12-02 22:57:29.048+00,2015-12-02 23:25:52.508+00,-76.9386616,38.8891714,-76.9379174,38.8896617
26,2015-12-02 23:25:47.174+00,2015-12-02 23:26:03.99+00,-77.0543308,38.9852991,-77.059486,38.984703
26,2015-12-02 23:25:47.174+00,2015-12-02 23:26:11.004+00,-77.0543308,38.9852991,-77.059486,38.984703
144,2015-12-03 00:03:32.009+00,2015-12-03 00:08:55.623+00,-77.0813109,38.9620841,-77.08202,38.9620847
7926,2015-12-03 00:03:32.009+00,2015-12-03 00:09:30.598+00,-77.08202,38.9620847,-77.082018,38.963092
1884,2015-12-03 00:03:32.009+00,2015-12-03 00:10:26.173+00,-77.0812722,38.9626631,-77.08104,38.963091
190,2015-12-03 00:03:32.009+00,2015-12-03 00:11:05.096+00,-77.083774,38.95271,-77.083779,38.953315
19214,2015-12-03 00:03:32.009+00,2015-12-03 00:17:28.484+00,-76.983654,38.912944,-76.984287,38.91399
26799,2015-12-03 00:03:32.009+00,2015-12-03 00:22:25.561+00,-76.987248,38.910965,-76.9872898,38.9122117
13480,2015-12-03 00:03:32.009+00,2015-12-03 00:23:37.168+00,-76.987349,38.91289,-76.986962,38.913024
22365,2015-12-03 00:03:32.009+00,2015-12-03 00:28:10.31+00,-76.983654,38.912944,-76.98437,38.912346
19214,2015-12-03 00:03:32.009+00,2015-12-03 00:28:28.952+00,-76.983654,38.912944,-76.984287,38.91399
20626,2015-12-03 00:31:14.912+00,2015-12-03 00:37:22.811+00,-76.980829,38.905684,-76.979975,38.905362
15065,2015-12-03 00:31:14.912+00,2015-12-03 00:37:57.277+00,-76.980202,38.905004,-76.979975,38.905362
13125,2015-12-03 00:31:14.912+00,2015-12-03 00:38:33.271+00,-76.980202,38.905004,-76.978989,38.90497
13123,2015-12-03 00:31:14.912+00,2015-12-03 00:39:08.078+00,-76.97899,38.904371,-76.978989,38.90497
13119,2015-12-03 00:31:14.912+00,2015-12-03 00:39:32.053+00,-76.978991,38.9037213,-76.97899,38.904371
13111,2015-12-03 00:31:14.912+00,2015-12-03 00:40:47.36+00,-76.978994,38.901927,-76.978993,38.902506
